TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
Flat,1012.5,30000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,2
House,4950.0,2240000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,7,7,3
Flat,2745.0,41500000.0,for sale,"F-11, Islamabad, Islamabad Capital",2018,2,4,2
Flat,2700.0,42500000.0,for sale,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",2012,3,3,1
House,1800.0,34000000.0,for sale,"Faisal Margalla City, B-17, Islamabad, Islamabad Capital",2025,4,6,2
Flat,630.0,6500000.0,for sale,"Cube Apartments, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,1,1
House,2250.0,250000.0,for rent,"D-12, Islamabad, Islamabad Capital",2025,4,4,2
House,1575.0,26500000.0,for sale,"G-15/1, G-15, Islamabad, Islamabad Capital",2024,7,6,2
Flat,1215.0,12100000.0,for sale,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,3,3,1
Flat,2790.0,45000000.0,for sale,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",2011,3,3,1
Flat,630.0,65000.0,for rent,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2025,1,1,2
House,2250.0,1000000.0,for rent,"F-8/3, F-8, Islamabad, Islamabad Capital",2015,4,4,1
Flat,1395.0,12700000.0,for sale,"E-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,720.0,11700000.0,for sale,"B-17, Islamabad, Islamabad Capital",2025,2,1,1
Flat,1305.0,130000.0,for rent,"E-11/4, E-11, Islamabad, Islamabad Capital",2024,2,2,1
House,2250.0,51500000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
House,1507.5,50000000.0,for sale,"G-9/4, G-9, Islamabad, Islamabad Capital",2024,3,2,2
House,1800.0,23000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,4,6,2
Upper Portion,1575.0,70000.0,for rent,"G-13, Islamabad, Islamabad Capital",2023,2,3,1
Flat,1417.5,14500000.0,for sale,"Lignum Tower, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,325000.0,for rent,"F-11, Islamabad, Islamabad Capital",2005,5,5,3
House,1125.0,19000000.0,for sale,"I-16, Islamabad, Islamabad Capital",2024,5,5,1
Lower Portion,3150.0,150000.0,for rent,"I-8/2, I-8, Islamabad, Islamabad Capital",2019,3,4,1
Flat,945.0,11000000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,2,2,1
House,4500.0,107500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3
House,4500.0,55000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2014,5,6,3
Upper Portion,4500.0,210000.0,for rent,"F-11, Islamabad, Islamabad Capital",2018,3,3,3
House,1125.0,13600000.0,for sale,"Ghauri Town Phase 4A, Ghauri Town, Islamabad, Islamabad Capital",2023,3,3,1
Flat,810.0,6000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,2,2,6
Flat,1260.0,17000000.0,for sale,"Diamond Mall & Residency, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,3,3,1
Flat,562.5,5260000.0,for sale,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,1,1,1
House,5850.0,477500000.0,for sale,"F-7, Islamabad, Islamabad Capital",2024,7,6,7
Flat,1372.5,550000.0,for rent,"Diplomatic Enclave, Islamabad, Islamabad Capital",2000,2,2,1
Flat,697.5,18000000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2016,2,2,1
Flat,810.0,26000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,450000.0,for rent,"F-10, Islamabad, Islamabad Capital",2020,5,5,2
Flat,382.5,7500000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,2,1,2
Flat,1102.5,35000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,2,2,1
Lower Portion,6750.0,300000.0,for rent,"F-7, Islamabad, Islamabad Capital",2018,1,2,2
House,1575.0,26500000.0,for sale,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2020,4,5,2
House,1125.0,75000.0,for rent,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2022,3,3,1
House,1125.0,65000.0,for rent,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,4,1
Upper Portion,3150.0,100000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,4,4,1
Flat,1237.5,70000.0,for rent,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2023,2,2,1
House,9000.0,1850000.0,for rent,"F-7, Islamabad, Islamabad Capital",2012,5,5,2
House,36000.0,400000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,7,7,2
Flat,1260.0,130000.0,for rent,"The Veranda Residence, E-11/1, E-11, Islamabad, Islamabad Capital",2020,1,1,1
House,2250.0,37500000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,5,7,5
House,4950.0,180000000.0,for sale,"F-10, Islamabad, Islamabad Capital",1990,5,6,4
House,4500.0,145000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,5,2
House,1575.0,33000000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,4,6,2
House,2250.0,43000000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,3
Flat,855.0,80000.0,for rent,"E-11/2, E-11, Islamabad, Islamabad Capital",2018,2,2,2
House,18000.0,2000000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,5,5,4
Upper Portion,4500.0,85000.0,for rent,"G-15/1, G-15, Islamabad, Islamabad Capital",2025,4,4,2
House,900.0,35000000.0,for sale,"G-14/4, G-14, Islamabad, Islamabad Capital",2021,4,4,2
Flat,2205.0,180000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,4,1
House,1800.0,95000.0,for rent,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,5,6,2
House,7200.0,720000000.0,for sale,"F-7/3, F-7, Islamabad, Islamabad Capital",2024,6,6,7
House,4500.0,79000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,6,6,2
Lower Portion,2250.0,80000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,3,4,1
Flat,607.5,55000.0,for rent,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,1,1,1
Flat,877.5,3500000.0,for sale,"F-17, Islamabad, Islamabad Capital",2018,2,2,2
House,10800.0,,for sale,"E-7, Islamabad, Islamabad Capital",2024,7,6,8
House,2272.5,42500000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,6,6,2
Flat,1215.0,12400000.0,for sale,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,3,3,1
House,1800.0,32000000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,5,5,2
Flat,855.0,175000.0,for rent,"Constitution Avenue, Islamabad, Islamabad Capital",2022,1,1,2
Upper Portion,4500.0,85000.0,for rent,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
House,4950.0,330000000.0,for sale,"F-7/1, F-7, Islamabad, Islamabad Capital",2023,6,6,3
House,1462.5,28000000.0,for sale,"CBR Town Phase 1 - Block C, CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",2021,4,4,2
Flat,405.0,33000.0,for rent,"Ovais Co Heights, PWD Road, Islamabad, Islamabad Capital",2010,1,1,2
Upper Portion,4500.0,160000.0,for rent,"D-12, Islamabad, Islamabad Capital",2023,3,3,1
House,1507.5,49000000.0,for sale,"G-9/3, G-9, Islamabad, Islamabad Capital",2024,3,3,2
Flat,292.5,25000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,1,1
House,4500.0,290000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,5,5,2
House,8100.0,625000.0,for rent,"F-8, Islamabad, Islamabad Capital",2024,4,5,6
House,4500.0,600000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,4,4,3
Upper Portion,4500.0,180000.0,for rent,"E-11, Islamabad, Islamabad Capital",2022,3,4,2
Lower Portion,2700.0,160000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,50500000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,2
House,4500.0,75000000.0,for sale,"Soan Garden, Islamabad, Islamabad Capital",2025,7,6,6
Upper Portion,2250.0,84000.0,for rent,"G-13, Islamabad, Islamabad Capital",2025,3,3,1
Flat,877.5,11399999.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,2,1,1
House,2250.0,41000000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,5,6,2
Flat,450.0,30000.0,for rent,"E-11, Islamabad, Islamabad Capital",2020,1,1,1
Flat,1800.0,75000.0,for rent,"Abdullah Heights, E-11/4, E-11, Islamabad, Islamabad Capital",2010,4,4,1
Lower Portion,1350.0,55000.0,for rent,"I-10/4, I-10, Islamabad, Islamabad Capital",2022,1,2,1
House,5400.0,1100000.0,for rent,"F-7, Islamabad, Islamabad Capital",2004,6,6,5
House,2452.5,46000000.0,for sale,"MPCHS - Block B, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,4,4,2
House,1125.0,23500000.0,for sale,"Mumtaz City - Ravi Block, Mumtaz City, Islamabad, Islamabad Capital",2024,5,5,1
Flat,1395.0,14000000.0,for sale,"El Cielo, GT Road, Islamabad, Islamabad Capital",2021,3,3,2
House,2025.0,70000000.0,for sale,"E-11/3, E-11, Islamabad, Islamabad Capital",2019,5,5,4
House,9900.0,550000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,5,6,2
Flat,1462.5,16000000.0,for sale,"D-17, Islamabad, Islamabad Capital",2015,3,3,1
House,4500.0,60000000.0,for sale,"Bahria Enclave - Sector C, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,7,6,4
Flat,1800.0,40000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2017,3,3,3
House,1800.0,29500000.0,for sale,"Chatha Bakhtawar, Islamabad, Islamabad Capital",2025,8,6,2
Flat,1597.5,31500000.0,for sale,"F-11, Islamabad, Islamabad Capital",2024,2,2,1
Flat,540.0,10000000.0,for sale,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2021,1,1,1
Flat,1755.0,54900000.0,for sale,"Silver Oaks Apartments, F-10, Islamabad, Islamabad Capital",2014,3,3,1
Flat,540.0,20200000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,1,1,1
Upper Portion,1800.0,80000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,4,4,1
House,4500.0,350000.0,for rent,"F-10, Islamabad, Islamabad Capital",2015,5,5,4
House,1125.0,24000000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,4,1
House,1800.0,75000000.0,for sale,"E-11, Islamabad, Islamabad Capital",2023,5,6,3
House,17100.0,745500000.0,for sale,"F-7, Islamabad, Islamabad Capital",1995,6,6,10
House,4500.0,265000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,7,7,4
House,4500.0,290000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2024,7,6,6
Flat,945.0,42000.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,1,2,1
House,3195.0,180000000.0,for sale,"I-8, Islamabad, Islamabad Capital",2024,5,6,2
House,1125.0,20000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,4,6,2
Lower Portion,2250.0,114999.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,2,2,1
House,4950.0,500000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,3,4,2
House,2250.0,125000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2025,5,5,2
House,1350.0,180000.0,for rent,"G-9/4, G-9, Islamabad, Islamabad Capital",2025,4,3,2
House,900.0,22500000.0,for sale,"I-10/1, I-10, Islamabad, Islamabad Capital",2024,5,6,2
House,1350.0,48000000.0,for sale,"E-11, Islamabad, Islamabad Capital",2024,10,6,3
Flat,315.0,4800000.0,for sale,"Gulberg Icon 2, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2022,2,1,1
Lower Portion,1575.0,75000.0,for rent,"I-10, Islamabad, Islamabad Capital",2024,2,2,1
House,9000.0,600000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,5,6,2
House,3600.0,145000000.0,for sale,"E-11/2, E-11, Islamabad, Islamabad Capital",2025,5,5,3
House,3150.0,150000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2025,6,7,4
House,1800.0,31000000.0,for sale,"Mumtaz City - Chanab Block, Mumtaz City, Islamabad, Islamabad Capital",2024,4,5,2
House,1575.0,8500000.0,for sale,"Rawal Enclave, Islamabad, Islamabad Capital",2024,3,4,2
Flat,472.5,6500000.0,for sale,"Gulberg Greens - Block C, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2023,1,2,5
House,1800.0,58000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,7,7,2
Flat,900.0,13500000.0,for sale,"Mumtaz City - Indus Block, Mumtaz City, Islamabad, Islamabad Capital",2024,2,2,1
Flat,1755.0,26000000.0,for sale,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",2024,2,2,1
House,9450.0,1200000.0,for rent,"E-7, Islamabad, Islamabad Capital",2013,5,6,8
Upper Portion,2250.0,85000.0,for rent,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,3,1
House,9450.0,550000000.0,for sale,"F-6/2, F-6, Islamabad, Islamabad Capital",1979,6,6,8
Flat,450.0,6300000.0,for sale,"Bahria Enclave - Sector I, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,2,1,1
House,1125.0,24000000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,4,1
Flat,742.5,12000000.0,for sale,"E-11, Islamabad, Islamabad Capital",2024,2,2,4
Flat,1642.5,31500000.0,for sale,"The Arch, G-11/3, G-11, Islamabad, Islamabad Capital",2024,2,2,1
House,1125.0,60000000.0,for sale,"D-12/4, D-12, Islamabad, Islamabad Capital",2024,6,6,2
Lower Portion,1575.0,40000.0,for rent,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,3,5
Flat,630.0,6500000.0,for sale,"Cube Apartments, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,1,1
House,9000.0,360000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2015,6,6,8
House,2700.0,73000000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
Upper Portion,2700.0,125000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,1
House,1800.0,14000000.0,for sale,"DHA Valley - Oleander Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2025,3,3,2
Lower Portion,4500.0,100000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
Flat,1237.5,17500000.0,for sale,"Smama Star Mall & Residency, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,4005.0,350000.0,for rent,"F-6/1, F-6, Islamabad, Islamabad Capital",2024,2,3,1
Flat,1710.0,12800000.0,for sale,"The Galleria, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2016,2,2,1
House,7200.0,450000000.0,for sale,"E-7, Islamabad, Islamabad Capital",2024,5,6,1
Flat,2655.0,34000000.0,for sale,"Askari Tower 1, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2019,3,4,2
House,1575.0,30000000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,5,5,4
House,675.0,43000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2022,2,2,2
Lower Portion,4500.0,200000.0,for rent,"F-10, Islamabad, Islamabad Capital",2020,3,3,1
House,4500.0,145000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,3
Flat,2632.5,121500000.0,for sale,"Sukh Chayn Residence, F-10, Islamabad, Islamabad Capital",2024,4,4,2
Upper Portion,4500.0,90000.0,for rent,"Top City 1, Islamabad, Islamabad Capital",2024,4,4,1
Flat,990.0000000000001,114999.0,for rent,"G-10/2, G-10, Islamabad, Islamabad Capital",2020,2,2,1
House,1800.0,34000000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,2
House,3150.0,148000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,7,6,2
House,2250.0,225000.0,for rent,"E-11/2, E-11, Islamabad, Islamabad Capital",2010,7,6,2
House,1350.0,150000.0,for rent,"I-10, Islamabad, Islamabad Capital",2024,5,5,2
House,1125.0,49000000.0,for sale,"G-11/2, G-11, Islamabad, Islamabad Capital",2024,5,5,3
Lower Portion,3600.0,95000.0,for rent,"F-11, Islamabad, Islamabad Capital",2018,3,2,1
Flat,360.0,30000.0,for rent,"Ovais Co Heights, PWD Road, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,115000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,7,4
Lower Portion,3150.0,140000.0,for rent,"G-13, Islamabad, Islamabad Capital",2020,3,3,1
Flat,1102.5,92000.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,1575.0,80000.0,for rent,"G-13/2, G-13, Islamabad, Islamabad Capital",2024,3,4,1
House,2250.0,50000000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2022,5,6,3
Lower Portion,1575.0,75000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,3,1
House,1125.0,35000.0,for rent,"Park Road, Islamabad, Islamabad Capital",2024,2,3,2
House,5850.0,450000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2018,6,6,2
Flat,2317.5,44300000.0,for sale,"Islamabad Expressway, Islamabad, Islamabad Capital",2023,3,3,2
House,4500.0,160000000.0,for sale,"E-11, Islamabad, Islamabad Capital",2024,6,6,4
Upper Portion,1800.0,40000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,1
Flat,1057.5,10700000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,2,2,2
Flat,2025.0,450000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,2,3,1
House,2475.0,73000000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,5,3
House,1800.0,260000.0,for rent,"G-9, Islamabad, Islamabad Capital",2020,5,5,1
House,1800.0,14500000.0,for sale,"E-18, Islamabad, Islamabad Capital",2024,2,2,1
Flat,1507.5,370000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2025,1,1,2
Flat,1260.0,125000.0,for rent,"G-11, Islamabad, Islamabad Capital",2025,2,2,1
House,1350.0,32000000.0,for sale,"I-14, Islamabad, Islamabad Capital",2024,5,6,7
Flat,2452.5,37900000.0,for sale,"J7 Emporium, B-17, Islamabad, Islamabad Capital",2024,3,3,1
House,1800.0,65000000.0,for sale,"G-11, Islamabad, Islamabad Capital",2024,4,4,2
Flat,720.0,9243000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,2,2,4
House,1800.0,100000.0,for rent,"G-15/4, G-15, Islamabad, Islamabad Capital",2024,4,5,2
House,4500.0,175000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
House,1800.0,30500000.0,for sale,"F-17, Islamabad, Islamabad Capital",2024,5,6,2
House,2250.0,49000000.0,for sale,"Bahria Enclave - Sector B2, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,5,6,2
Upper Portion,1575.0,40000.0,for rent,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,3,1
Flat,652.5,48000.0,for rent,"PWD Housing Scheme, Islamabad, Islamabad Capital",2022,2,2,2
Lower Portion,3195.0,110000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,40000000.0,for sale,"DHA Phase 4 - Sector A, DHA Defence Phase 4, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
Upper Portion,4500.0,210000.0,for rent,"F-10, Islamabad, Islamabad Capital",2018,4,4,2
Flat,1912.5,90000.0,for rent,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,4500.0,75000.0,for rent,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,3,4,1
Upper Portion,1800.0,50000.0,for rent,"B-17, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,1350.0,80000.0,for rent,"G-10/4, G-10, Islamabad, Islamabad Capital",2015,2,2,2
House,9000.0,550000.0,for rent,"F-8, Islamabad, Islamabad Capital",2020,5,6,4
House,4500.0,170000000.0,for sale,"E-11/3, E-11, Islamabad, Islamabad Capital",2018,8,6,4
House,1575.0,90000.0,for rent,"Soan Garden, Islamabad, Islamabad Capital",2024,4,4,2
House,990.0000000000001,25000000.0,for sale,"I-10/1, I-10, Islamabad, Islamabad Capital",2022,4,4,1
Flat,1080.0,45000.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,1,2,1
House,1125.0,75000.0,for rent,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,3,3,2
Lower Portion,900.0,49000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,139000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,3
House,1125.0,12500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,1
Flat,810.0,28000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,75000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2020,6,6,2
House,1620.0,16000000.0,for sale,"D-17, Islamabad, Islamabad Capital",2024,4,4,2
House,2250.0,54000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
